,title,author,resource,genre,place,publisher,date,content,topic,repository
14,Diatriba de amor contra un hombre sentado: monologo en un acto,"García Márquez, Gabriel",text,Monodramas (Literature),"Santafé de Bogotá, Colombia",Arango Editores,1994,69 p. ; 20 cm.,Monodramas,"Houghton Library, Harvard University"
15,Sentido de una lucha biológica,"Murillo, Luis María",text,bibliography,Bogotá,Imprenta nacional,1994,"48, [6] p. illus., XIII pl. (part col.) 32 cm.",Insects,"Ernst Mayr Library of the Museum of Comparative Zoology, Harvard University"
16,Ensayos liricos i dramaticos,"Pérez, Santiago",text,Plays-Colombia-19th century.,Bogota,Imprenta de Echeverría Hermanos,1851,"[2], viii, 152, 92 p. ; 16 cm.",No data,"Houghton Library, Harvard University"
17,Esos extraños prófugos de Occidente,"Ospina, William",text,No data,"Santafé de Bogotá, Colombia",Grupo Editorial Norma,1994,137 p. ; 21 cm.,Criticism and interpretation,"Houghton Library, Harvard University"
18,Muestra de un diccionario de la lengua castellana,"Manrique, Venancio G. (Venancio González)",text,No data,Bogotá,Imp. de Echeverría hnos.,1871,"pp. (4), 31. l.8vo",Spanish language,"Houghton Library, Harvard University"
19,Poemas,"Rosa Olivera, Leopoldo de la.",text,poetry.,Barranquilla,Biblioteca del Atlántico,1945,"12, 162 p. illus. 21 cm.",No data,"Widener Library, Harvard University"
20,Huayna Capac: novela orijinal,"Pérez, Felipe",text,novel,Bogotá,Imprenta de Echeverría Hermanos,1856,112 p. ; 16 cm.,No Data,"Houghton Library, Harvard University"
21,"Resumen documentado que manifiesta el origen y sucesos ocurridos en la plaza de Cartagena de Indias desde el dia 7 de junio hasta el 5 de julio últimos, con motivo del juramento de la constitucion de la monarquía española: sacado de la relacion y parte posterior, que por el ministerio de la Gobernacion de Ultramar se elevaron al conocimiento de S.M. en 30 y 27 de dichos meses","Torres y Velasco, Gabriel de.",text,No data,Cartagena de Indias,"En la impr. del Gobierno constitucional, por Calvo",1820,36 p. ; 33 cm.,History,"Widener Library, Harvard University"
22,Mancha de aceite,"Uribe Piedrahita, César",text,novel,[Bogotá],"Imprimió ""Renacimiento""",1820,"138, [6] p. ; ill. ; 20 x 17 cm.",No data,"Houghton Library, Harvard University"
23,El coronel no tiene quien le escriba,"García Márquez, Gabriel",text,novel,Medellín,Aguirre Editor,1961,90 p. ; 21 cm.,No data,"Houghton Library, Harvard University"
24,"Las convulsiones: sainete. Su autor, Un ciudadano granadino","Vargas Tejada, Luis",text,No data,Bogotá,reimpreso por G. Morales i Cía.,1851,pp. 44.,No data,"Houghton Library, Harvard University"
25,Dónde está la franja amarilla?,"Ospina, William",text,essay,Santafé de Bogotá,Editorial Norma,1997,154 p. ; 21 cm.,Violence,"Houghton Library, Harvard University"
26,Defensa del general Nariño,"Nariño, Antonio",text,biography,Bogota,Por Espinosa,1823,"89 [i.e. 88] p., [1] folded leaf of plates ; 24 cm. (4to)",Generals,"Houghton Library, Harvard University"
27,Las auroras de sangre: Juan de Castellanos y el descubrimiento poético de América,"Ospina, William",text,bibliography,Santa Fé de Bogotá - Barcelona,Grupo Editorial Norma,1999,446 p. : maps ; 21 cm.,History and criticism,"Houghton Library, Harvard University"
28,La aventura de Miguel Littin clandestino en Chile: un reportaje,"García Márquez, Gabriel",text,Biographies,Bogotá,Editorial Oveja Negra,1986,152 p. ; 21 cm.,Motion pictures,"Houghton Library, Harvard University"
29,"El cataclismo de Damocles: Conferencia Ixtapa, México, 1986","García Márquez, Gabriel",text,speech,"Bogotá, Colombia",Editorial Oveja Negra,1986,14 p. ; 20 cm.,Prevention,"Houghton Library, Harvard University"
30,Ultimo libro,"Plantureux, Serge.",text,government publication,San Juan de Arama [Colombia],(Serge Plantureux],1999,"[59] p. : ill., music ; 24 cm.",Millennium celebrations (Year 2000),"Houghton Library, Harvard University"
31,"Neruda y los ""Versos del capitán"": un ensayo de identificación literaria","Madrid-Malo, Néstor.",text,bibliography,Barranquilla,Ediciones Delta,1958,"41 p., [1] leaf of plates : port. ; 15 cm.",No Data,"Houghton Library, Harvard University"
32,Cizaña: novela,"Gómez Corena, Pedro.",text,novel,Bogotá,J. Casis,1921,268 p. ; 22 cm.,No data,"Widener Library, Harvard University"
33,Haggadah shel Pesaḥ,"Ken Negba (Medellin, Colombia)",text,government publication,"Bogotá, Colombia",Otzaot Mordejai Anilevich,196u,24 p. ; 28 cm.,Haggadot,"Widener Library, Harvard University"
34,El extranjero: (novela americano),"Mateus, Jorge.",text,novels.,Bucaramanga,Casa editorial La Cabaña,1928,"3 p. l., 209 p., 2 ℓ. port. 23 cm.",No data,"Widener Library, Harvard University"
35,Ultimo libro,"Plantureux, Serge.",text,government publication,San Juan de Arama [Colombia],(Serge Plantureux],2000,"[59] p. : ill., music ; 24 cm.",Millennium celebrations (Year 2000),"Houghton Library, Harvard University"
36,Tríptico de Comala,"Roca, Juan Manuel.",text,Artists' books-Colombia-Bogotá-1999.,"Bogotá, Colombia",Arte Dos Gráfico,1989,[27] p. : ill. ; 23 cm.,Artists' books,"Houghton Library, Harvard University"
37,El correo nacional,No data,text,No data,"Bogotá, Colombia",C.M. Silva,1890 - 1uuu,v. ; 69 cm.,Artists' books,"Master Microforms, Harvard University"
38,El correo liberal: organo del directorio liberal de Antioquia,Directorio Liberal de Antioquia (Colombia),text,No data,"Medellín, República de Colombia","Impr. de ""La Organizacíon""",1913 - 1924,v. ; 57 cm.,Artists' books,"Master Microforms, Harvard University"
39,El trabajo,No data,text,No data,"Popayan, Colombia",Impr. de El Trabajo,1897 - 1uuu,v. ; 59 cm.,Artists' books,"Master Microforms, Harvard University"
40,"Shemaʻ ḳolenu =: ""Oye nuestra voz"" : cánticos de las fiestas Rosh Hashana y Yom Kipur","Deleon, Abraham I.",text,Prayers,Cali,"Centro Israelita de Beneficencia de Cali ""Ezrath Israel""",1969,69 p. ; 16 cm.,Liturgy,"Widener Library, Harvard University"
41,Maria,"Isaacs, Jorge",text,novel,Bogota,Imprenta i Estereotipia de Medardo Rívas,1869,"[4], 263, [1], IV p. ; 21 cm.",No data,"Houghton Library, Harvard University"
42,"Ambiente de un barrio y personalidad de un abuelo: el barrio jerosolimitano ""Yemin Moshé Montefiori"" y el abuelo Isaac Michael Badhav (1859-1947)","Lévy, Joseph Josy.",text,No data,Bogotá,Salazar Hnos. Editores,1985,67 p. : ill. ; 24 cm.,Neighborhoods,"Widener Library, Harvard University"
43,Atahuallpa: novela orijinal,"Pérez, Felipe",text,novel,Bogotá,Imprenta de Echeverría Hermanos,1856,143 p. ; 16 cm.,No Data,"Houghton Library, Harvard University"
